DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
43292184,Matt McLain,SS,7,CIN,NYM,Confirmed,3500,0,7.12,,7.12,2.0342857142857143,3.59,3.229512344625635,0,100,4.6634,8.966000000000001,7.1152,2,5,11,14,21,28,9.38551,3,6.2,13,18.7,28.2,37.902,7.06668,2.6,5.2,10.25,14.2,20.6,28.4,7.42392,1.5,5,11,16.5,24,34,6.88075,9.25084,6.78229,8.16426,0.51344,0.17312,0.01864,0.12004,0.1156,0.01832,0.47456,0.47416,0.92672,0.44216,3.9204,0.8252400000000001,0,0,0,0,0,0,0
43292225,Gavin Sheets,1B/OF,4,SD,STL,Confirmed,3100,0,7.11,,7.11,2.293548387096774,4.2,3.8449536787866645,0,100,4.2284,8.9658,7.10756,2,5,10,14,21,30,9.35256,3,6.2,12.7,18.7,28.4,40.9,7.0788,2.6,5.2,9.7,14.2,21,30,7.56664,1.5,5,11,16.5,25,36,7.01284,9.48009,6.95475,8.43237,0.58144,0.19868,0.0166,0.1172,0.05312,0.00956,0.46988,0.497,0.84984,0.43284,4.31232,0.9139199999999998,0,0,0,0,0,0,0
43292277,Denzer Guzman,3B/SS,6,LAA,ARI,Confirmed,2600,0,7.08,,7.08,2.723076923076923,5.74,5.691524337063244,0,100,4.6164,9.5328,7.08488,2,5,10,14,21,29,9.257,3,6.2,13,18.7,28.2,39.207,6.99479,2.6,5.2,10.4,14.2,20.6,28.603,7.37122,1.5,5,11,16.5,24,34,6.99951,9.35222,6.88597,8.32232,0.528,0.18012,0.07448,0.0952,0.08708,0.014,0.451,0.48264,1.08044,0.37488,4.16856,0.8778000000000001,0,0,0,0,0,0,0
43292530,Drew Anderson,P,,DET,HOU,Confirmed,7500,0,7.06,,7.06,0.9413333333333334,0.22,0.08701455549851529,0,100,4.647,9.278400000000001,7.05815,2.4,7.45,12,14.45,18.7,24.0515,13.5647,7,14,20,23,29,36,8.10508,2.7,8.5,13.5,16.4,21.3,27.3,11.2293,4.5,12,18,21.5,27.5,35,7.44034,9.82135,8.3787,10.3899,1.9826,0.60464,0.04672,0.50528,0,0,1.89904,0,2.9572,1.52272,14.2046,3.13924,1.75524,3.26068,0.02872,0.00112,0,0,56.0016
43292334,Cody Freeman,2B,7,TEX,MIN,Confirmed,2000,0,7.05,,7.05,3.525,4.24,4.0272299205375734,0,100,4.5866,8.624600000000001,7.05027,2,5,10,14,21,28,9.26895,3,6.2,12.7,18.7,28.2,38.2,6.96534,2.6,5.2,9.7,14.2,20.6,28.1,7.581,1.5,5,11,16.5,24.5,33.505,6.87323,9.28474,6.77987,8.2607,0.587533,0.161867,0.0246,0.120533,0.0683333,0.0112667,0.460733,0.5268,0.688,0.379733,3.89273,0.8945329999999999,0,0,0,0,0,0,0
43292268,Jordan Lawlar,3B/OF,7,ARI,LAA,Confirmed,2700,0,7.03,,7.03,2.603703703703704,5.25,5.087282847193197,0,100,4.9164,9.5328,7.03148,2,5,10,14,20,28,9.27221,3,6.5,13,18.7,25.7,38.001,6.97066,2.6,5.2,10.4,13.9,19.4,27.4,7.2014,1.5,5,11,15,23,32.5,6.67175,8.92686,6.53355,7.83766,0.50324,0.15712,0.0606,0.076,0.13352,0.01732,0.46116,0.46676,1.03144,0.48396,3.98264,0.79696,0,0,0,0,0,0,0
43292142,Dalton Rushing,C,8,LAD,TB,Confirmed,4300,0,7,,7,1.627906976744186,3.1,2.707226075832729,0,100,5.3588,9.7982,6.9952,2,5,10,15,21,30,9.24804,3,6.2,12.7,19.2,28.7,40.9,6.91893,1.9,4.5,9.7,14.2,21.3,30.3,7.47888,1,5,11,17,25,36.5,7.22289,9.78832,7.15928,8.75616,0.51028,0.14568,0.02132,0.15464,0.06484,0.00976,0.48908,0.533,0.902,0.32532,3.79224,0.83192,0,0,0,0,0,0,0
43292190,Ryan Vilade,OF,4,TB,LAD,,3500,0,6.99,,6.99,1.997142857142857,2.44,1.9982746894957701,0,100,4.4394,9.7982,6.99196,2,5,10,14,21,30,9.103,3,6.2,12.7,18.7,28.2,40.601,6.87204,2.6,5.2,9.7,14.2,20.6,29.6,7.4183,1.5,5,11,16.5,24,35,7.03764,9.43186,6.92399,8.36478,0.58592,0.17912,0.03508,0.1108,0.08692,0.01464,0.4306,0.48904,0.79388,0.33804,4.21768,0.91092,0,0,0,0,0,0,0
43292175,Oswald Peraza,2B/SS,9,LAA,ARI,Confirmed,3700,0,6.98,,6.98,1.8864864864864868,2.85,2.450822952773549,0,100,4.6164,9.5328,6.98164,2,5,10,14,21,28,9.06014,3,6.2,12.7,18.7,27.9,37.9,6.82618,1.9,5.2,9.7,14.2,20.3,27.7,7.2918,1.5,5,11,16,23,33.5,6.91244,9.17902,6.75288,8.08301,0.54272,0.17812,0.06412,0.087,0.12688,0.01856,0.45348,0.44384,0.80896,0.32544,3.83792,0.8719599999999998,0,0,0,0,0,0,0
43292213,Masyn Winn,SS,6,STL,SD,Confirmed,3200,0,6.98,,6.98,2.18125,4.34,4.078021524884774,0,100,4.7374,8.9658,6.98444,2,5,10,14,20,27,9.13814,3,6.3,12.7,18.5,25.7,37.301,6.84693,2.6,5.2,9.7,13.5,19.4,26.703,7.37798,2,5.5,11,15,23,32,6.46269,8.68206,6.3138,7.63408,0.64116,0.17792,0.0292,0.07292,0.09968,0.01608,0.44972,0.51208,0.71148,0.39328,4.05788,0.9211999999999999,0,0,0,0,0,0,0
