Name,dfs_id,dk_salary,proj,p95,own,mc_prob,value,wave,CEIL,VAL,LEV,SAFE,DFS_SCORE_SE,kill_SE,kill_reason_SE,DFS_SCORE_3MAX,kill_3MAX,kill_reason_3MAX,DFS_SCORE_20MAX,kill_20MAX,kill_reason_20MAX,DFS_SCORE_150MAX,kill_150MAX,kill_reason_150MAX
Bud Cauley,42464077,7200,51.13,92.02,3.87,0.596615,7.101388888888889,AM,85.10520231213876,94.99416107429481,0.35545023696682354,68.25578226524702,69.8001001405202,False,,68.10007858060962,False,,65.59790565642761,False,,64.21061404108781,False,
Chad Ramey,42464089,7000,50.73,89.52,2.83,0.600154,7.247142857142856,PM,82.79306358381507,96.94388895910319,19.31279620853081,68.91545689038443,72.76360313515265,False,,71.55307544856565,False,,69.50169479991709,False,,68.36540114570856,False,
Michael Kim,42464092,6900,50.51,88.5,2.74,0.595077,7.320289855072463,AM,81.84971098265899,97.92236483363222,50.11848341232229,67.96909688139243,77.69744293819176,False,,77.43953681614498,False,,76.283032655531,False,,75.7433734501428,False,
Taylor Moore,42474776,6900,50.49,89.02,3.16,0.594923,7.317391304347826,AM,82.33063583815031,97.88359137695684,47.7488151658768,67.940391062723,77.46191625347998,False,,77.14397387208315,False,,75.92773548125928,False,,75.35674730030051,False,
Eric Cole,42464091,6900,50.42,91.5,4.19,0.583385,7.3072463768115945,PM,84.62427745664743,97.74788427859308,50.11848341232229,65.78969147955385,78.27227697917985,False,,78.17883245670478,False,,77.12664215025853,False,,76.73909171224592,False,
Matt Kuchar,42464099,6800,50.38,89.0,2.3,0.593846,7.408823529411765,AM,82.31213872832373,99.10666585590768,12.203791469194316,67.7396367334568,71.67785107719433,False,,70.3032257591638,False,,67.98758956745974,False,,66.68670713957148,False,
William Mouw,42464087,7000,50.16,90.0,3.52,0.590154,7.1657142857142855,AM,83.23699421965321,95.85463177978744,38.2701421800948,67.05144269106987,75.50992845724517,False,,74.97020047248758,False,,73.56637681506847,False,,72.90025356893211,False,
Vince Whaley,42464103,6700,50.08,89.0,4.17,0.592462,7.474626865671642,AM,82.31213872832373,99.9869067245182,97.51184834123227,67.48165716827168,86.34868504955638,False,,87.54620041594625,False,,87.76855829564872,True,chalk_trap,88.16397157478457,True,chalk_trap
Adrien Dumont De Chassart,42464082,7100,49.63,88.5,3.93,0.578615,6.990140845070424,AM,81.84971098265899,93.5060135078059,100.0,64.9005567064808,84.45950489165806,False,,85.8514712759872,False,,86.38527395627658,True,chalk_trap,87.02362831440581,True,chalk_trap
John Parry,42464079,7200,49.55,88.5,2.89,0.580769,6.881944444444444,PM,81.84971098265899,92.05868729183078,59.59715639810429,65.30206536501315,77.30949165704847,False,,77.46929730039412,False,,76.82640428593523,False,,76.6736030365901,False,
Steven Fisk,42464106,6700,49.48,88.02,2.61,0.583538,7.385074626865671,PM,81.40578034682083,98.78898052574202,57.22748815165879,65.81821089680336,78.5237568283701,False,,78.5777865350161,False,,77.64269315279395,False,,77.27909038881282,False,
Seamus Power,42464095,6900,49.2,89.5,2.63,0.568154,7.130434782608695,AM,82.77456647398847,95.38270342139586,14.573459715639817,62.950611452577846,70.36762155763893,False,,69.31278610595899,False,,67.28498789521453,False,,66.26352167174173,False,
Kristoffer Reitan,42464081,7100,49.19,88.5,3.08,0.570308,6.928169014084507,PM,81.84971098265899,92.67702608198613,64.33649289099529,63.352120111110196,77.87977450759819,False,,78.27925750842572,False,,77.79899333012696,False,,77.78711039245363,False,
Jhonattan Vegas,42464113,6600,49.05,87.5,1.98,0.571846,7.431818181818182,PM,80.92485549132952,99.41426170070929,38.2701421800948,63.63880549496477,74.83869578149161,False,,74.42335688197281,False,,72.93475429628167,False,,72.23045340576031,False,
Doug Ghim,42464088,7000,49.01,88.5,2.38,0.570308,7.001428571428571,AM,81.84971098265899,93.65700764608019,35.9004739336493,63.352120111110196,73.29064667587288,False,,72.83704910798004,False,,71.47430491403809,False,,70.87410196593595,False,
Zecheng Dou,42464083,7100,49.0,88.5,3.13,0.569385,6.901408450704226,PM,81.84971098265899,92.3190542390185,69.07582938388627,63.180071600513465,78.5615590485284,False,,79.11182456967249,False,,78.78792061166143,True,chalk_trap,78.88314529602317,False,
Kevin Yu,42464104,6700,48.61,86.5,1.72,0.568769,7.255223880597015,PM,80.00000000000003,97.05198753751658,26.421800947867307,63.065248325835675,71.76775271068374,False,,71.00714432282797,False,,69.22693375862177,False,,68.32237257705373,False,
Austin Eckroat,42464097,6800,48.31,86.5,1.87,0.560462,7.104411764705883,AM,80.00000000000003,95.03459760815602,45.37914691943129,61.51681173046507,74.17646672443536,False,,74.06200054549504,False,,72.94200079022399,False,,72.50338742453556,False,
Bronson Burgoon,42464115,6600,48.06,87.0,2.28,0.554462,7.281818181818182,AM,80.46242774566477,97.4077353177592,52.48815165876779,60.398403210876324,75.93032279695821,False,,76.09429574109072,False,,75.14798872201675,False,,74.85151778488057,False,
Joel Dahmen,42474773,6600,47.69,86.0,2.15,0.552154,7.225757575757576,AM,79.53757225433529,96.65782141706067,66.70616113744079,59.96818873367453,77.72241795101242,False,,78.31594479353862,False,,77.80878265556323,False,,77.79683095559068,False,
Karl Vilips,42464120,6500,47.57,84.0,1.36,0.556769,7.318461538461539,PM,77.68786127167633,97.89790773019084,12.203791469194316,60.828431286658194,68.23619502287939,True,mc_risk,67.11464442805584,True,mc_risk,64.8810095399263,True,mc_risk,63.67291011425692,False,
Emiliano Grillo,42464108,6700,47.52,86.0,1.81,0.551692,7.092537313432836,AM,79.53757225433529,94.8757549430732,52.48815165876779,59.882071277666185,74.84261622993948,False,,75.0139086609059,False,,74.13539058191012,False,,73.87730354552409,False,
Kevin Roy,42464096,6900,47.32,85.5,1.74,0.546,6.857971014492754,PM,79.07514450867055,91.73799849391163,52.48815165876779,58.82107439541635,73.67025519784652,False,,73.88534891801213,False,,73.11293491522291,False,,72.93556008191766,False,
Sami Valimaki,42464110,6600,47.31,85.0,1.54,0.549231,7.168181818181819,AM,78.6127167630058,95.88763957310005,31.161137440758303,59.42333738321488,71.0268031047891,True,mc_risk,70.56272469411124,True,mc_risk,69.0047172177368,True,mc_risk,68.28586855648369,True,mc_risk
Andrew Putnam,42464102,6800,47.2,86.0,3.9,0.54,6.9411764705882355,PM,79.53757225433529,92.85102477965151,100.0,57.702665875827606,81.9775668267258,False,,83.68318497802113,False,,84.33435236220174,True,chalk_trap,85.13237905796396,True,chalk_trap
